あ A
えまい Emai
えまお Emao
えまき Emaki
えまこ Emako
えまゆ Emayu
えまら Emara
えまり Emari
えまる Emaru
えみ Emi
えみあ Emia
えみい Emii
えみいる Emiiru
えみお Emio
えみか Emika
えみこ Emiko
えみさ Emisa
えみじ Emiji
えみち Emichi
えみな Emina
えみね Emine
えみの Emino
えみは Emiha
えみほ Emiho
えみま Emima
えみや Emiya
えみゆ Emiyu
えみよ Emiyo
えみら Emira
えみり Emiri
えみる Emiru
えみれ Emire
えみリー Emiri-
えむ Emu
えむか Emuka
えむこ Emuko
えむな Emuna
えむりん Emurin
えめ Eme
えめか Emeka
えめら Emera
えめらるだす Emerarudasu
えも Emo
えもえ Emoe
えや Eya
えゆ Eyu
えゆき Eyuki
えゆみ Eyumi
えよ Eyo
えよこ Eyoko
えら Era
えらり Erari
えらん Eran
えり Eri
えりあ Eria
えりい Erii
えりいぜ Eriize
えりいぬ Eriinu
えりえ Erie
えりお Erio
えりか Erika
えりこ Eriko
えりさ Erisa
えりざ Eriza
えりす Erisu
えりせ Erise
えりぜ Erize
えりと Erito
えりな Erina
えりの Erino
えりは Eriha
えりふぁ Erifa
えりほ Eriho
えりみ Erimi
えりむ Erimu
えりも Erimo
えりや Eriya
えりり Eriri
えりりん Eririn
えりん Erin
えりー Eri-
えりーぜ Eri-ze
える Eru
えるあ Erua
えるか Eruka
えるく Eruku
えるこ Eruko
えるさ Erusa
えるざ Eruza
えるな Eruna
えるの Eruno
えるま Eruma
えるみ Erumi
えるむ Erumu
えるも Erumo
えるる Eruru
えれ Ere
えれあ Erea
えれい Erei
えれいな Ereina
えれか Ereka
えれさ Eresa
えれな Erena
えれん Eren
えれーな Ere-na
えろす Erosu
えろん Eron
えわ Ewa
えわこ Ewako
えん En
えんか Enka
えんき Enki
えんこ Enko
えんじ Enji
えんじぇる Enjeru
えんじゅ Enju
えんじゅん Enjun
えんぜる Enzeru
えんな Enna
えんび Enbi
えんみ Enmi
えんや En'ya
えんゆにあ En'yunia
えんら Enra
えんり Enri
えーね E-ne
えーる E-ru
おあ Oa
おい Oi
おいみ Oimi
おう Ou
おうい Oui
おうか Ouka
おうが Ouga
おうき Ouki
おうぎ Ougi
おうぎょ Ougyo
おうこ Ouko
おうさ Ousa
おうどり Oudori
おうな Ouna
おうね Oune
おうの Ouno
おうは Ouha
おうひ Ouhi
おうひめ Ouhime
おうび Oubi
おうほ Ouho
おうま Ouma
おうみ Oumi
おうみじん Oumijin
おうみまいこ Oumimaiko
おうめ Oume
おうら Oura
おうらん Ouran
おうり Ouri
おうりん Ourin
おうる Ouru
おうれい Ourei
おえ Oe
おえこ Oeko
おえだ Oeda
おえん Oen
おおいこ Ooiko
おおく Ooku
おおこ Ooko
おおすみ Oosumi
おおせ Oose
おおせい Oosei
おおぞら Oozora
おおつのみこ Ootsunomiko
おおとものみこ Ootomonomiko
おおどり Oodori
おおなみこなみ Oonamikonami
おおばこ Oobako
おおみ Oomi
おおみこ Oomiko
おおむ Oomu
おか Oka
おかえ Okae
おかこ Okako
おかつ Okatsu
おかの Okano
おかめ Okame
おかゆ Okayu
おかりな Okarina
おかる Okaru
おき Oki
おきえ Okie
おきか Okika
おきこ Okiko
おきそ Okiso
おきな Okina
おきなつ Okinatsu
おきは Okiha
おきみ Okimi
おぎ Ogi
おぎこ Ogiko
おぎん Ogin
おく Oku
おくそ Okuso
おくな Okuna
おくに Okuni
おくみ Okumi
おくむらいおこ Okumuraioko
おぐり Oguri
おこ Oko
おこう Okou
おごと Ogoto
おさ Osa
おさえ Osae
おさかべのみこ Osakabenomiko
おさこ Osako
おさな Osana
おさみ Osami
おさむ Osamu
おさめ Osame
おさよ Osayo
おしう Oshiu
おしえ Oshie
おしず Oshizu
おしの Oshino
おしろいばな Oshiroibana
おじょう Ojou
おすかる Osukaru
おず Ozu
おぜ Oze
おたま Otama
おだい Odai
おちみ Ochimi
おっき Okki
おっこ Okko
おっとお Ottoo
おつ Otsu
おつお Otsuo
おつこ Otsuko
おつこつよしこ Otsukotsuyoshiko
おつみ Otsumi
おつよ Otsuyo
おでん Oden
おと Oto
おとあ Otoa
おとい Otoi
おとえ Otoe
おとか Otoka
おとき Otoki
おとこ Otoko
おとじゅ Otoju
おとすみ Otosumi
おとせ Otose
おとな Otona
おとなこ Otonako
おとね Otone
おとの Otono
おとは Otoha
おとひめ Otohime
おとひろ Otohiro
おとみ Otomi
おとめ Otome
おとめこ Otomeko
おとや Otoya
おとよ Otoyo
おとわ Otowa
おどり Odori
おなつ Onatsu
おなぶ Onabu
おなみ Onami
おなら Onara
おにこ Oniko
おにひめ Onihime
おね One
おのう Onou
おのこ Onoko
おののいもこ Ononoimoko
おはす Ohasu
おはら Ohara
おばな Obana
おぱーる Opa-ru
おひで Ohide
おひめ Ohime
おび Obi
おびあ Obia
おぴな Opina
おぼろ Oboro
おぼろづくよ Oborodzukuyo
おま Oma
おまこ Omako
おみ Omi
おみあ Omia
おみこ Omiko
おみせ Omise
おみな Omina
おめきち Omekichi
おめこ Omeko
おもい Omoi
おもう Omou
おもえ Omoe
おもか Omoka
おもこ Omoko
おもと Omoto
おやこ Oyako
おゆう Oyuu
おゆき Oyuki
おゆぬ Oyunu
およう Oyou
おり Ori
おりあ Oria
おりぃ Orii
おりい Orii
おりいぶ Oriibu
おりえ Orie
おりお Orio
おりおん Orion
おりか Orika
おりが Origa
おりき Oriki
おりこ Oriko
おりさ Orisa
おりざ Oriza
おりせ Orise
おりな Orina
おりね Orine
おりは Oriha
おりば Oriba
おりひ Orihi
おりひめ Orihime
おりびあ Oribia
おりびや Oribiya
おりぶ Oribu
おりべ Oribe
おりほ Oriho
おりみ Orimi
おりむ Orimu
おりめ Orime
おりや Oriya
おりよ Oriyo
おりん Orin
おるう Oruu
おるか Oruka
おるが Oruga
おるこ Oruko
おるは Oruha
おるひ Oruhi
おるふぇ Orufe
おれんじ Orenji
おろら Orora
おわ Owa
おわさ Owasa
おわり Owari
おん On
おんあい On'ai
おんえい On'ei
おんか Onka
おんがく Ongaku
おんこ Onko
おんぷ Onpu
おんり Onri
おんわ Onwa
おニャンこ Onyanko
おーどりー O-dori-
おーら O-ra
おーろら O-rora
かあい Kaai
かあこ Kaako
かあさ Kaasa
かあと Kaato
かあな Kaana
かあや Kaaya
かあゆ Kaayu
かあら Kaara
かあり Kaari
かい Kai
かいあ Kaia
かいえ Kaie
かいか Kaika
かいげつ Kaigetsu
かいこ Kaiko
かいさ Kaisa
かいし Kaishi
かいせい Kaisei
かいぜん Kaizen
かいと Kaito
かいな Kaina
かいね Kaine
かいの Kaino
かいは Kaiha
かいほ Kaiho
かいみ Kaimi
かいむ Kaimu
かいめ Kaime
かいもの Kaimono
かいや Kaiya
かいら Kaira
かいり Kairi
かいる Kairu
かいれん Kairen
かいろ Kairo
かいん Kain
かう Kau
かうみ Kaumi
かうら Kaura
かえ Kae
かえい Kaei
かえこ Kaeko
かえで Kaede
かえでこ Kaedeko
かえでの Kaedeno
かえな Kaena
かえね Kaene
かえみ Kaemi
かえら Kaera
かえる Kaeru
かえん Kaen
かお Kao
かおい Kaoi
かおう Kaou
かおえ Kaoe
かおこ Kaoko
かおな Kaona
かおね Kaone
かおは Kaoha
かおぶ Kaobu
かおみ Kaomi
かおよ Kaoyo
かおり Kaori
かおりこ Kaoriko
かおりな Kaorina
かおりのみこと Kaorinomikoto
かおりん Kaorin
かおる Kaoru
かおるか Kaoruka
かおるこ Kaoruko
かおるみ Kaorumi
かおん Kaon
かか Kaka
かかし Kakashi
かかな Kakana
かかの Kakano
かかみ Kakami
かかり Kakari
かが Kaga
かがこ Kagako
かがな Kagana
かがの Kagano
かがほ Kagaho
かがみ Kagami
かがみこ Kagamiko
かがや Kagaya
かがやき Kagayaki
かがやくひのみや Kagayakuhinomiya
かがよ Kagayo
かがり Kagari
かき Kaki
かきこ Kakiko
かきつ Kakitsu
かきね Kakine
かきみ Kakimi
かきょう Kakyou
かきる Kakiru
かぎ Kagi
かぎく Kagiku
かぎこ Kagiko
かぎな Kagina
かく Kaku
かくえ Kakue
かくこ Kakuko
かくな Kakuna
かくの Kakuno
かくは Kakuha
かくみ Kakumi
かぐあ Kagua
かぐこ Kaguko
かぐみ Kagumi
かぐや Kaguya
かぐやひめ Kaguyahime
かぐら Kagura
かぐわ Kaguwa
かけい Kakei
かけみ Kakemi
かけり Kakeri
かける Kakeru
かけれ Kakere
かげお Kageo
かげこ Kageko
かげつ Kagetsu
かげの Kageno
かげみ Kagemi
かげろう Kagerou
かこ Kako
かこと Kakoto
かこみ Kakomi
かごめ Kagome
かさい Kasai
かさえ Kasae
かさき Kasaki
かさこ Kasako
かさね Kasane
かさま Kasama
かさみ Kasami
かさり Kasari
かさりん Kasarin
かざえ Kazae
かざか Kazaka
かざき Kazaki
かざし Kazashi
かざつぎ Kazatsugi
かざと Kazato
かざな Kazana
かざね Kazane
かざは Kazaha
かざふみ Kazafumi
かざほ Kazaho
かざみ Kazami
かざめ Kazame
かざゆ Kazayu
かざり Kazari
かざる Kazaru
かし Kashi
かしお Kashio
かしき Kashiki
かしく Kashiku
かしこ Kashiko
かしす Kashisu
かしと Kashito
かしの Kashino
かしほ Kashiho
かしみ Kashimi
かしゅ Kashu
かしゅう Kashuu
かしゅく Kashuku
かしよ Kashiyo
かしろ Kashiro
かじ Kaji
かじか Kajika
かじこ Kajiko
かじつ Kajitsu
かじみ Kajimi
かじゅ Kaju
かじゅあ Kajua
かじゅさ Kajusa
かじゅは Kajuha
かじゅり Kajuri
かじゅん Kajun
かじょう Kajou
かじよ Kajiyo
かじん Kajin
かすい Kasui
かすえ Kasue
かすか Kasuka
かすが Kasuga
かすき Kasuki
かすず Kasuzu
かすね Kasune
かすみ Kasumi
かすみこ Kasumiko
かず Kazu
かずあや Kazuaya
かずい Kazui
かずえ Kazue
かずえこ Kazueko
かずお Kazuo
かずか Kazuka
かずき Kazuki
かずこ Kazuko
かずさ Kazusa
かずせ Kazuse
かずち Kazuchi
かずちよ Kazuchiyo
かずな Kazuna
かずね Kazune
かずの Kazuno
かずのぶ Kazunobu
かずは Kazuha
かずひ Kazuhi
かずほ Kazuho
かずま Kazuma
かずみ Kazumi
かずみこ Kazumiko
かずみそえみ Kazumisoemi
かずめ Kazume
かずも Kazumo
かずや Kazuya
かずゆき Kazuyuki
かずよ Kazuyo
かずよう Kazuyou
かずよし Kazuyoshi
かずら Kazura
かずらこ Kazurako
かずり Kazuri
かせい Kasei
かせき Kaseki
かせこ Kaseko
かせつ Kasetsu
かせら Kasera
かせり Kaseri
かせん Kasen
かぜ Kaze
かぜな Kazena
かぜね Kazene
かぜのこ Kazenoko
かぜは Kazeha
かぜほ Kazeho
かぜみ Kazemi
かそう Kasou
かた Kata
かたえ Katae
かたかご Katakago
かたこ Katako
かたせ Katase
かたな Katana
かたほ Kataho
かちえ Kachie
かちこ Kachiko
かちよ Kachiyo
かちる Kachiru
かっこ Kakko
かつ Katsu
かつあい Katsuai
かつえ Katsue
かつき Katsuki
かつけいこ Katsukeiko
かつこ Katsuko
かつさ Katsusa
かつな Katsuna
かつね Katsune
かつの Katsuno
かつひさ Katsuhisa
かつほ Katsuho
かつみ Katsumi
かつよ Katsuyo
かつら Katsura
かつらぎ Katsuragi
かつらこ Katsurako
かづ Kadzu
かづえ Kadzue
かづか Kadzuka
かづき Kadzuki
かづこ Kadzuko
かづさ Kadzusa
かづな Kadzuna
かづね Kadzune
かづの Kadzuno
かづは Kadzuha
かづほ Kadzuho
かづみ Kadzumi
かづよ Kadzuyo
かづる Kadzuru
かて Kate
かてい Katei
かでん Kaden
かと Kato
かとこ Katoko
かとみ Katomi
かとり Katori
かどか Kadoka
かどこ Kadoko
かどな Kadona
かどの Kadono
かどみ Kadomi
かな Kana
かない Kanai
かないゆうこ Kanaiyuuko
かなう Kanau
かなえ Kanae
かなお Kanao
かなか Kanaka
かなき Kanaki
かなぎ Kanagi
かなこ Kanako
かなさ Kanasa
かなざわぶんこ Kanazawabunko
かなじょ Kanajo
かなす Kanasu
かなず Kanazu
かなせ Kanase
かなた Kanata
かなつ Kanatsu
かなつき Kanatsuki
かなて Kanate
かなで Kanade
かなでる Kanaderu
かなと Kanato
かなな Kanana
かなね Kanane
かなの Kanano
かなは Kanaha
かなはる Kanaharu
かなひ Kanahi
かなほ Kanaho
かなみ Kanami
かなむ Kanamu
かなめ Kaname
かなめこ Kanameko
かなも Kanamo
かなや Kanaya
かなゆ Kanayu
かなよ Kanayo
かなり Kanari
かなりあ Kanaria
かなりい Kanarii
かなりや Kanariya
かなる Kanaru
かなれ Kanare
かなわ Kanawa
かなん Kanan
かにか Kanika
かぬい Kanui
かぬか Kanuka
かぬこ Kanuko
かぬみ Kanumi
かぬり Kanuri
かね Kane
かねえ Kanee
かねこ Kaneko
かねほ Kaneho
かねみ Kanemi
かねよ Kaneyo
かねよこ Kaneyoko
かの Kano
かのあ Kanoa
かのう Kanou
かのうようこ Kanouyouko
かのえ Kanoe
かのか Kanoka
かのこ Kanoko
かのさ Kanosa
かのせ Kanose
かのと Kanoto
かのな Kanona
かのの Kanono
かのは Kanoha
かのぶ Kanobu
かのほ Kanoho
かのみ Kanomi
かのむ Kanomu
かのよ Kanoyo
かのら Kanora
かのり Kanori
かのん Kanon
かはす Kahasu
かはな Kahana
かはね Kahane
かはる Kaharu
かばこ Kabako
かばね Kabane
かひ Kahi
かひみ Kahimi
かひろ Kahiro
かび Kabi
かふう Kafuu
かふぇ Kafe
かふか Kafuka
かふく Kafuku
かふみ Kafumi
かぷり Kapuri
かへ Kahe
かほ Kaho
かほう Kahou
かほこ Kahoko
かほせ Kahose
かほな Kahona
かほね Kahone
かほの Kahono
かほみ Kahomi
かほり Kahori
かほりこ Kahoriko
かほる Kahoru
かほるこ Kahoruko
かぼちゃ Kabocha
かぼん Kabon
かまえ Kamae
かまこ Kamako
かまな Kamana
かまぼこ Kamaboko
かまり Kamari
かみ Kami
かみう Kamiu
かみえ Kamie
かみお Kamio
かみか Kamika
かみぎく Kamigiku
かみこ Kamiko
かみさ Kamisa
かみな Kamina
かみの Kamino
かみゅう Kamyuu
かみゆ Kamiyu
かみよ Kamiyo
かみら Kamira
かみる Kamiru
かみわ Kamiwa
かみん Kamin
かむ Kamu
かむい Kamui
かむり Kamuri
かめ Kame
かめい Kamei
かめき Kameki
かめこ Kameko
かめよ Kameyo
かもこ Kamoko
かもみ Kamomi
かもめ Kamome
かもん Kamon
かや Kaya
かやか Kayaka
かやき Kayaki
かやこ Kayako
かやさ Kayasa
かやす Kayasu
かやな Kayana
かやね Kayane
かやの Kayano
かやほ Kayaho
かやみ Kayami
かやめ Kayame
かやん Kayan
かゆ Kayu
かゆう Kayuu
かゆか Kayuka
かゆき Kayuki
かゆこ Kayuko
かゆな Kayuna
かゆみ Kayumi
かゆめ Kayume
かゆり Kayuri
かよ Kayo
かよい Kayoi
かよう Kayou
かようこ Kayouko
かよえ Kayoe
かよこ Kayoko
かよし Kayoshi
かよね Kayone
かよの Kayono
かよみ Kayomi
かよら Kayora
かより Kayori
から Kara
からあ Karaa
からこ Karako
からす Karasu
からな Karana
からん Karan
かり Kari
かりあ Karia
かりぃな Kariina
かりい Karii
かりえ Karie
かりか Karika
かりく Kariku
かりこ Kariko
かりす Karisu
かりな Karina
かりの Karino
かりふ Karifu
かりぶ Karibu
かりや Kariya
かりょう Karyou
かりん Karin
かりんと Karinto
かりーな Kari-na
かる Karu
かるあ Karua
かるか Karuka
かるこ Karuko
かるす Karusu
かるた Karuta
かるな Karuna
かるの Karuno
かるは Karuha
かるほ Karuho
かるぽ Karupo
かるま Karuma
かるみ Karumi
かるや Karuya
かるら Karura
かるる Karuru
かるん Karun
かれあ Karea
かれい Karei
かれな Karena
かれる Kareru
かれん Karen
かろら Karora
かろる Karoru
かろん Karon
かわい Kawai
かわこ Kawako
かわせ Kawase
かわな Kawana
かわなこ Kawanako
かわはらこ Kawaharako
かわはらこうこ Kawaharakouko
かわら Kawara
かわらばやしろこ Kawarabayashiroko
かん Kan
かんう Kan'u
かんえ Kan'e
かんか Kanka
かんこ Kanko
かんさ Kansa
かんさい Kansai
かんざ Kanza
かんし Kanshi
かんじゅ Kanju
かんな Kanna
かんなぎ Kannagi
かんなづき Kannadzuki
かんぬ Kannu
かんね Kanne
かんねい Kannei
かんの Kanno
かんふゆ Kanfuyu
かんみ Kanmi
かんむり Kanmuri
かんら Kanra
かんる Kanru
かんろ Kanro
かオリ Kaori
かーく Ka-ku
があな Gaana
があら Gaara
がい Gai
がいあ Gaia
がいや Gaiya
がお Gao
ががく Gagaku
がく Gaku
がくと Gakuto
がび Gabi
がむ Gamu
がら Gara
がろう Garou
がんこ Ganko
がんばろう Ganbarou
がんま Ganma
がーねっと Ga-netto
きあ Kia
きあい Kiai
きあか Kiaka
きあき Kiaki
きあこ Kiako
きあの Kiano
きあや Kiaya
きあら Kiara
きあり Kiari
きあん Kian
きい Kii
きいあ Kiia
きいこ Kiiko
きいちご Kiichigo
きいと Kiito
きいな Kiina
きいほ Kiiho
きいみ Kiimi
きいら Kiira
きいろ Kiiro
きう Kiu
きうい Kiui
きうげつ Kiugetsu
きうこ Kiuko
きうな Kiuna
きうみ Kiumi
きうめ Kiume
きうる Kiuru
きえ Kie
きえい Kiei
きえか Kieka
きえこ Kieko
きえな Kiena
きえの Kieno
きえみ Kiemi
きえり Kieri
きえん Kien
きお Kio
きおい Kioi
きおか Kioka
きおこ Kioko
きおな Kiona
きおみ Kiomi
きおり Kiori
きおん Kion
きか Kika
きかこ Kikako
きかさ Kikasa
きかな Kikana
きき Kiki
ききい Kikii
ききこ Kikiko
ききな Kikina
ききょう Kikyou
きぎぬ Kiginu
きく Kiku
きくい Kikui
きくう Kikuu
きくえ Kikue
きくえこ Kikueko
きくお Kikuo
きくか Kikuka
きくこ Kikuko
きくじ Kikuji
きくじゅ Kikuju
きくちよ Kikuchiyo
きくな Kikuna
きくね Kikune
きくの Kikuno
きくのか Kikunoka
きくは Kikuha
きくひめ Kikuhime
きくほ Kikuho
きくま Kikuma
きくみ Kikumi
きくも Kikumo
きくよ Kikuyo
きくよし Kikuyoshi
きくり Kikuri
きげつ Kigetsu
きこ Kiko
きこう Kikou
きこと Kikoto
きこな Kikona
きこね Kikone
きこの Kikono
きさ Kisa
きさい Kisai
きさえ Kisae
きさか Kisaka
きさき Kisaki
きさこ Kisako
きさと Kisato
きさな Kisana
きさの Kisano
きさみ Kisami
きさや Kisaya
きさよ Kisayo
きさら Kisara
きさらぎ Kisaragi
きさり Kisari
きざし Kizashi
きざみ Kizami
きし Kishi
きしえ Kishie
きしか Kishika
きしこ Kishiko
きしの Kishino
きしゅこ Kishuko
きしょう Kishou
きしよ Kishiyo
きしろ Kishiro
きしん Kishin
きじ Kiji
きじま Kijima
きじゅ Kiju
きじょ Kijo
きじょう Kijou
きす Kisu
きすか Kisuka
きすぎ Kisugi
きすこ Kisuko
きすず Kisuzu
きすな Kisuna
きすみ Kisumi
きすん Kisun
きず Kizu
きずき Kizuki
きずく Kizuku
きずな Kizuna
きずほ Kizuho
きずる Kizuru
きせ Kise
きせあ Kisea
きせい Kisei
きせいこ Kiseiko
きせき Kiseki
きせこ Kiseko
きせつ Kisetsu
きせら Kisera
きせり Kiseri
きそこ Kisoko
きた Kita
きたえ Kitae
きたき Kitaki
きたこ Kitako
きたほ Kitaho
きたみ Kitami
きちえ Kichie
きちこ Kichiko
きちじ Kichiji
きちの Kichino
きちょう Kichou
きちよ Kichiyo
きっか Kikka
きっこ Kikko
きった Kitta
きつ Kitsu
きつか Kitsuka
きつき Kitsuki
きつこ Kitsuko
